"filename", "language", "JSON", "JavaScript", "SQL", "comment", "blank", "total"
"/home/keeganpratt/sei/projects/final-project/backend/database/deleters.js", "JavaScript", 0, 36, 0, 0, 6, 42
"/home/keeganpratt/sei/projects/final-project/backend/database/helpers.js", "JavaScript", 0, 9, 0, 0, 3, 12
"/home/keeganpratt/sei/projects/final-project/backend/database/inserters.js", "JavaScript", 0, 44, 0, 0, 9, 53
"/home/keeganpratt/sei/projects/final-project/backend/database/miniSeed.js", "JavaScript", 0, 33, 0, 0, 5, 38
"/home/keeganpratt/sei/projects/final-project/backend/database/pad.sql", "SQL", 0, 0, 43, 0, 3, 46
"/home/keeganpratt/sei/projects/final-project/backend/database/patchers.js", "JavaScript", 0, 15, 0, 0, 3, 18
"/home/keeganpratt/sei/projects/final-project/backend/database/randomCreators.js", "JavaScript", 0, 85, 0, 0, 8, 93
"/home/keeganpratt/sei/projects/final-project/backend/database/schema.sql", "SQL", 0, 0, 54, 0, 10, 64
"/home/keeganpratt/sei/projects/final-project/backend/database/seed.js", "JavaScript", 0, 71, 0, 0, 4, 75
"/home/keeganpratt/sei/projects/final-project/backend/database/selectors.js", "JavaScript", 0, 143, 0, 0, 11, 154
"/home/keeganpratt/sei/projects/final-project/backend/lib/actions.js", "JavaScript", 0, 17, 0, 0, 3, 20
"/home/keeganpratt/sei/projects/final-project/backend/lib/auth/authUsers.js", "JavaScript", 0, 26, 0, 0, 4, 30
"/home/keeganpratt/sei/projects/final-project/backend/lib/auth/signUp.js", "JavaScript", 0, 21, 0, 1, 5, 27
"/home/keeganpratt/sei/projects/final-project/backend/lib/dateHelp.js", "JavaScript", 0, 25, 0, 0, 4, 29
"/home/keeganpratt/sei/projects/final-project/backend/lib/dbQuery.js", "JavaScript", 0, 18, 0, 0, 2, 20
"/home/keeganpratt/sei/projects/final-project/backend/lib/formulas/itemScore.js", "JavaScript", 0, 16, 0, 0, 3, 19
"/home/keeganpratt/sei/projects/final-project/backend/lib/formulas/userWeight.js", "JavaScript", 0, 9, 0, 0, 2, 11
"/home/keeganpratt/sei/projects/final-project/backend/models/commentModel.js", "JavaScript", 0, 0, 0, 0, 2, 2
"/home/keeganpratt/sei/projects/final-project/backend/package-lock.json", "JSON", 2573, 0, 0, 0, 1, 2574
"/home/keeganpratt/sei/projects/final-project/backend/package.json", "JSON", 24, 0, 0, 0, 1, 25
"/home/keeganpratt/sei/projects/final-project/backend/pad.js", "JavaScript", 0, 6, 0, 0, 0, 6
"/home/keeganpratt/sei/projects/final-project/backend/server.js", "JavaScript", 0, 283, 0, 12, 36, 331
"Total", "-", 2597, 857, 97, 13, 125, 3689
